"IDكود العميل","اسم العميل","رقم الشاسية","نوع الالة","اسم المهندس","نوع العقد","عداد تسليم اسود","عداد تسليم الوان","تاريخ انتهاء العقد","العنوان","التليفون","ملاحظات","Field1"
"","مكتبة فريندز","W2E7803363","KY6052CI","شعبان","زيارة","217377","316335","2/28/2027 12:00:00 AM","شارع الزيت من ش/عشرين","1270590785","كريم ابراهيم",""
"","مكتبة فريندز","W2J8617518","KY5052CI","شعبان","زيارة","426393","68642","2/28/2027 12:00:00 AM","شارع الزيت من ش/عشرين","1270590785","كريم ابراهيم",""
"","محمد احمد","RFH9511168","KY3253CI","عادل","ضمان","287807","182868","2/28/2027 12:00:00 AM","كامب شيزار --الضمان(10000)نسخه","01030343896","",""
"","فوزي خلاف","VCY6901428","KYP2040dn","كريم","ضمان","12861","","11/29/2026 12:00:00 AM","ش مصطفى كامل برج دريم 1--الضمان(5000)","01175195618","",""
"","ماركت القاضي","RC22519314","KY6235CId","شعبان","ضمان","1421","6602","11/19/2026 12:00:00 AM","خورشيد الخط الوسطاني--الضمان(5000)","01068259423","هشام محمد القاضى",""
"","الديب مول","RF80Y15991","KY5053CI","شعبان","زيارة","889283","9580","","","","م/خالد البربري",""
"","تارجت للمقاولات والاستشارات","RF80X15066","KY5053CI","عادل","ضمان","427604","4508","2/17/2027 12:00:00 AM","21/ش الاحقاف -الابراهيميه---(20000)نسخه","","ا/عبد الرحمن محمد حسن",""
"","سكاي ميكر","VFL7Z15509","KY2506CI","عادل","ضمان","11444","43290","3/11/2027 12:00:00 AM","2 ش الزعفران -الابراهيميه--الضمان(10000)","01289400939","ياسر محمد",""
"","مكتب محمود معوض للمحاماه","C517PC01043","MPC307","شعبان","ضمان","29364","76903","12/13/2026 12:00:00 AM","8ش الجمهوريه-نزلة ابو سعده--ضمان(5000)","01020240201","ا/محمود معوض",""
"","محمد خميس عبد اللطيف","V797Z04611","KY406CI","عادل","ضمان","71243","272366","12/10/2026 12:00:00 AM","عزبة دبانه-طرق الملاحه--الضمان(5000)نسخه او ثلاثة اشهر","01225164419","ا/ محمد خميس",""
"","بيت الجملة فرع محرم بك (المخازن)","VFL7X13498","KY2506CI","السيد","ايجار","143168","65591","","محرم بك","","",""
"","بيت الجملة فرع التجمع التالت التسويق","RGT0612573","KY2507CI","وائل","ايجار","52492","139490","","القاهره-التجمع الثالث","","",""
"","بيت الجملة فرع الهانوفيل","RC29Z08589","KY6235CId","السيد","ايجار","21098","6084","","الهانوفيل","","",""
"","بيت الجملة فرع الدريسة 1","W916P10491","MP301","السيد","ايجار","343095","","","الدليفرى","","",""
"","بيت الجملة فرع الدريسة 2","RFM1641309","KY2553CI","السيد","ايجار","114682","528639","","المكاتب الادارية","","",""
"","مستشفى الاندلسية","RC22519309","KY6235CID","مجدى","ايجار","5805","4243","","سموحة","","",""
"","مستشفى الاندلسية","RC22519304","KY6235CID","مجدى","ايجار","8611","4490","","سموحة","","",""
"","شركة فيروميتالكو","RF89503105","KY5053CI","عادل","ايجار","1370535","264874","","برج العرب المنطقة الثالثة","01500012950","ا / محمد فرج الكومى",""
"","شركة فيروميتالكو","RF89503231","KY5053CI","عادل","ايجار","208582","14598","","برج العرب المنطقة الثالثة","01500012950","ا / محمد فرج الكومى",""
"","جمعية مباشر حجر النواتية","V4408906596","MP171","السيد","زيارة","140156","","","حجر النواتية","","سعيد الشيرى",""
"","شركة جرين فالى (رشيد)"," S9258900419","MP5200","عادل","ايجار","","","","رشيد","01010005829","ا / محمد سعيد ( مدير الموقع)",""
"1285","الاتحاد ترانس"," W2S8Z52835","KY3253ci","مجدى","زيارة","14643","78746","9/26/2025 12:00:00 AM","ش/ النصر المنشية","1277483615","",""
"1756","بيت الجملة فرع ( اللوتس )"," W399607996 ش","KY350C","","ارشيف","34563","63997","","مدينة نصر","","",""
"","بيت الجملة فرع اكتوبر سيلفر مول 1"," W915P703743","MP301","وائل","ايجار","","","","فرع اكتوبر","","",""
"1216","سنتر واى اكاديمى","*******","KY 02","رضا","ايجار","","","","لوران","","",""
"1633","على ربيع","********","MP1022","السيد","زيارة","","","","بجوار الشركة","1272942041","",""
"","مديرية التعاون الزراعي للمنشية","**********","mp2025","مجدى","زيارة","","","","المنشية","1221717741","ا/ طلعت",""
"1143","مكتبة سكر بنات","0000000000","MP1018","كريم","زيارة","30745","","9/4/2024 12:00:00 AM","ش 3 المراغى الجديدة -- الضمان(5000)نسخة","1204829653","ام بلال",""
"","مستشفى جمال عبد الناصر","00000000000","DMC627","يحيي","زيارة","0","","","داخل المستشفى","","",""
"664","مدرسة شيبوب","01008835755","MP1022","اسامة","زيارة","","","","المعمورة","1008835755","ا / عصام",""
"1948","مكتبة لوران","01095322258","MP1022","رضا","زيارة","","","","دمنهور ش / المحافظة","01095322258","ام احمد",""
"373","بازار المعداوى","01152647989","MP2550","شعبان","زيارة","274","","3/18/2023 12:00:00 AM","العوايد / بجوار شركة كهربا  السيوف","1152647989","",""
"815","مرسة الزعيم","01200305543","MP 3045","اسامة","زيارة","","","","طوسون","1200305543","ا / خالد فاروق",""
"1733","مكتبة الدولى","01201678459","MP1022","شعبان","زيارة","","","","شارع 45 دولي","1201678459","ا / عادل",""
"691","احمد العدل المحامى","01229176326","MP2550","شعبان","زيارة","","","","اخر ش / الزيت","1229176326","",""
"747","مدرسة شيبوب (تبع)","1008835755","MP2510","اسامة","زيارة","","","","المعمورة","","",""
"1435","الجيش","1874311678","KY3051","طارق","زيارة","","","","العامرية","","",""
"","مصنع التوحيد","2","MPC6003","مجدى","صيانة","","","1/31/2027 12:00:00 AM","كفر الدوار","1279588593","",""
"1152","ا/مجمد الحريرى","222222222222","spc262","رضا","زيارة","","","5/14/2025 12:00:00 AM","بجوار اشركه5000 نسخه","1063320195","",""
"1129","شركة السلام للمقاولات","3159507920","OX C6655","تمام","زيارة","","","","مرغم -- خلف توكيل نيسان","1032704392","ا / احمد رجب",""
"999","اللتون ( السكرتارية )","3185052850","OX 6600","تمام","زيارة","","","","","","",""
"1165","مستشفى جمال عبد الناصر","33333333333","1022","شعبان","زيارة","","","","","122742558","وائل فوده",""
"822","مكتبة تسنيم","3647640353","OX 5755","تمام","زيارة","","","","ابيس الثانية","1008200909","ا / محمد سعد",""
"717","ا / ريمون موريس","3647826805","OX 5755","تمام","زيارة","","","","العوايد البكاتوشى","1200700731","",""
"921","شركة الرأى كول سنتر","3660199771","OX 5845","تمام","زيارة","","","","ش شعراوي","1148885711","م / احمد اسماعيل",""
"1563","مدرسة الالسن","3667831503","OX5875","تمام","صيانة","","","","العجمى","","",""
"581","مدرسة الالسن","3667835991","OX 5875","ايمن","زيارة","","","","العجمي","","",""
"24","مدرسة الضوي2","3667850729","OX5865","ايمن","صيانة","","","10/1/2023 12:00:00 AM","العجمى الهانوفيل","","",""
"967","شركة ميسكو (دمياط)","3667853523 ش","OX 5875","","ارشيف","173821","","","دمياط","","",""
"1965","مكتبة السعد","3667870100 ش","OX5865","","ارشيف","772044","","","حجر النواتية","1273241020","",""
"904","المدرسة الفرنسية (الشاطبى)","3667870150","OX5865","تمام","زيارة","","","","الشاطبى","","تبع م / خالد البربرى",""
"953","المدرسة الفرنسية (الشاطبى)","3667870320","OX5875","تمام","زيارة","","","","الشاطبى","","تبع م / خالد البربرى",""
"896","الجامعة الاهلية","3667871289  ش","OX 8575","","ارشيف","371912","","","بجوار الشركة","1208309372","الالة بجانب الشباك",""
"1631","احمد حمدى محمد على","3930P800572","IMC300","رضا","زيارة","222486","35503","2/4/2026 12:00:00 AM","كفر الدوار - الحدائق --الضمان(5000)نسخة","1000757986","",""
"933","مكتبة جنه للمعرفة","46449848","SP5210","رضا","زيارة","","","","المندرة","1287676695","ا / اكرم حسن",""
"437","مدرسة جانكليس","4J68430132","4128 MF","شعبان","زيارة","","","","جانكليس","1063340540","",""
"26","معهد البحوث ضمان الجودة","4l12520047","mp 1035","ايمن","صيانة","","","9/13/2023 12:00:00 AM","الحضرة البحرية","","عمل عقد سنوي",""
"1375","عباد الرحمن","5","MP4001","شعبان","زيارة","","","","","","",""
"1089","ا/ احمد رضوان","5219P702574","MP501","شعبان","زيارة","27420","","","","","",""
"2132","شركة فلوكيجر","5311X206246","p801","مجدى","ضمان","","","4/1/2027 12:00:00 AM","بعد الموقف الجديد","1154042556","01278642080 -ا/ محمد الدسوقي",""
"2223","ابو رقية","5451P801443","SPC250FW","رضا","ضمان","7082","6769","11/1/2026 12:00:00 AM","","01224557333","",""
"732","نادى الجياد ادارة (المدير التنفيذى)","7PBJFJ600002T","SMS 5360","","ارشيف","43976","","","سموحة","","ا / يحيي  سعيد",""
"767","جمال حماده","7PBJFJ70000BB","SMS 5360","اسامة","زيارة","49374","","12/8/2023 12:00:00 AM","سموحة ش / الهلتون -- الضمان ( 5000) نسخة","1003891786","ا / عيد نعمان الصعيدى",""
"787","شركة الغاز الطبيعى للسيارات","7PBJFJ70000DZ","SMS 5360","رضا","زيارة","55889","","12/19/2023 12:00:00 AM","شركة الغاز الطبيعى - المطار بجوار مستشفى طلعت مصطفى","1221150783","01025007734",""
"724","نادى الجياد ادارة (شئون قانونية)","7PBJFK10000FB","SMS 5360","شعبان","صيانة","16697","","5/31/2027 12:00:00 AM","سموحة","","ا / رشا حمدى",""
"2153","اليكترو الحبشى","8W98670041","MP161","يحيي","زيارة","","","","اسلام -- برج العرب","01200667886","اسلام",""
"1905","مدرسة ارض العوايد","8W98680020","MP201","يحيي","زيارة","","","","","","",""
"584","ا / محمود مصطفى","8W98870264","MP161","اسامة","زيارة","","","","العصافرة ش / 30","1094991524","",""
"29","اليكس لايف","8W98870448","mp161","ايمن","صيانة","","","","العجمى الهانوفيل / تجديد شهرى","","تجديد شهرى",""
"1424","شركة المدينة المنورة","8W99180086","MP 161","شعبان","زيارة","","","","ابيس العاشرة","1227825939","",""
"565","ا / احمد عباس","9W96180379","MPC5000","رحيم","زيارة","","","","شركة مقاولات -- سموحة","1008797505","",""
"466","كوبى ديزاين","9W96660131","MPC2500","مجدى","زيارة","","","3/13/2025 12:00:00 AM","الفلكى ش/16 الملك","1222224997","(ا / محمود)",""
"419","مدرسة الميريدين","C067C30087","MPC 6503","ايمن","صيانة","157930","565825","10/1/2023 12:00:00 AM","الضمان(25000) نسخة","","",""
"603","سنترمديكال اكاديمي","C077CA30017","MPC 8003","مجدى","زيارة","","","","الازريطة","","سمارت سيدى جابر",""
