"IDكودالصيانة","رقم الشاسية","تاريخ الصيانة","عداد اسود","عداد الوان","بيان الاصلاح","المهندس","قطع الغيار المطوبة","Field1"
"23952","VDX1359576","8/30/2026 12:00:00 AM","14930","9102","تم ملو حبر للماكينه","السيد","",""
"23953","VG38Z25684","9/1/2026 12:00:00 AM","203653","79796","تعبئة حبر اسود","مروان العجمي","",""
"23954","M6283900338","8/31/2026 12:00:00 AM","562907","","صيانه للاله","مصعب","",""
"23955","W2W8Z58194","9/3/2026 12:00:00 AM","25399","96904","دفع 800 جنيه +صيانه دوريه","شعبان","",""
"23956","VAQ7200346","9/5/2026 12:00:00 AM","1064253","","صيانه للتانك","عادل","",""
"23957","W916P404401","","","","","","",""
"23958","X576061658","8/31/2026 12:00:00 AM","8202","21617","حبر +صيانه","كريم","",""
"23959","RFH9816201","8/30/2026 12:00:00 AM","201662","129271","صيانه دوريه","كريم","",""
"23960","RGS1419329","9/1/2026 12:00:00 AM","505007","19505","صيانه دوريه","شعبان","",""
"23961","RFC9713332","9/1/2026 12:00:00 AM","1090133","468484","ملو حبر ازرق","شعبان","",""
"23962","VA89701228","9/1/2026 12:00:00 AM","366267","211906","صيانه دوريه","شعبان","",""
"23963","VG38Z25684","9/5/2026 12:00:00 AM","203997","79862","اضافة ديفولبر احمر واصفر","عادل","",""
"23964","W906P900732","9/5/2026 12:00:00 AM","469194","","حل مشكله كود الكنترول","عادل","",""
"23965","RGS9906381","9/5/2026 12:00:00 AM","345186","62934","صيانه دوريه","عادل","",""
"23966","RFH9919585","9/3/2026 12:00:00 AM","298566","61138"," صيانه دوريه +دفع 2000","شعبان","",""
"23967","RGS9Z08539","9/3/2026 12:00:00 AM","1248442","128095","صيانه دوريه","شعبان","",""
"23968","W794P504109","9/3/2026 12:00:00 AM","48587","32377","صيانه دوريه","شعبان","",""
"23969","E196M220302","9/3/2026 12:00:00 AM","654697","874606","تم تغيير شيت فيلم رول سخان +ملو زجاجة حبر اصفر +اسود","شعبان","",""
"23970","C507PB01811","9/3/2026 12:00:00 AM","24109","39543","صيانه دوريه","شعبان","",""
"23971","W906P900732","","","","","","",""
"23972","W91P600233","9/5/2026 12:00:00 AM","357730","","حل عطل السخان","كريم","",""
"23973","V4409210304 ش","9/5/2026 12:00:00 AM","104032","","تغيير حساس الدرج","كريم","",""
"23974","RFC9713034","9/5/2026 12:00:00 AM","581593","199073","ملو حبر اسود","شعبان","",""
"23975","W513J100613","9/5/2026 12:00:00 AM","487112","205013","تم تغيير تاتش+كاوتش بامب ازرق","شعبان","",""
"23976","VG67303231","9/5/2026 12:00:00 AM","439733","136722","صيانه دوريه","شعبان","",""
"23977","RFH9Z26117","9/5/2026 12:00:00 AM","410280","527566","تم عمل صيانه للبامبات كود 7301","شعبان","",""
"23978","RFC9713332","9/5/2026 12:00:00 AM","1095050","468883","ملو حبر اصفر+احمر+اسود","شعبان","",""
"23979","W542JB00610","9/5/2026 12:00:00 AM","465814","118462","صيانه دوريه","شعبان","",""
"23980","V8204501286","9/5/2026 12:00:00 AM","465144","","وجود كسر في ريشة الدوبلكس","شعبان","",""
"23981","W2E8X06327","9/6/2026 12:00:00 AM","1848972","192917","صيانه دوريه","ابو العباس","",""
"23982","T1128865756","9/6/2026 12:00:00 AM","86308","","صيانه دوريه","ابو العباس","",""
"23983","W2W7520685","9/6/2026 12:00:00 AM","194526","61280","صيانه دوريه","ابو العباس","",""
"23984","V7915201976","9/6/2026 12:00:00 AM","1173719","","صيانه دوريه","شعبان","",""
"23985","W916P104913 شش","9/7/2026 12:00:00 AM","343095","","صيانة دورية","","",""
"23986","VFZ8X02645","8/30/2026 12:00:00 AM","1589652","","صيانه دوريه","مصعب","",""
"23987","W503K400975","9/6/2026 12:00:00 AM","711048","145692","شفرة يونت اصفر","مصعب","",""
"23988","LXP6208440","9/10/2026 12:00:00 AM","691097","","صيانه بالورشه","مصعب","",""
"23989","W3059100631","9/8/2026 12:00:00 AM","256316","","صيانه دوريه","شعبان","",""
"23990","W2N7205191","9/8/2026 12:00:00 AM","905232","54947","صيانه لمجموعة العادم","شعبان","",""
"23991","E754KC50136","9/8/2026 12:00:00 AM","138712","","ملو حبر ايجل نص 3*500=1500","شعبان","",""
"4","W512J701951","8/11/2022 12:00:00 AM","476551","177214","صيانة دورية","شعبان","",""
"6","L3664700269","8/11/2022 12:00:00 AM","574525","93247","ثحثاج جريدة خروج","طارق","",""
"9","LEL4701286","8/11/2022 12:00:00 AM","704867","","محتاج حبر","طارق","",""
"10","V7915201976","8/11/2022 12:00:00 AM","981502","","صيانة دورية","طارق","م / منى",""
"21","S7313900355","8/13/2022 12:00:00 AM","78060","28788","صيانة دورية","طارق","",""
"23","E754K650223","8/13/2022 12:00:00 AM","543666","","تم حل مشكلة التكرار","طارق","",""
"25","W502K700261","8/13/2022 12:00:00 AM","426959","264671","صيانة دورية","طارق","",""
"26","W673K700078","8/13/2022 12:00:00 AM","695121","","صيانة دورية","طارق","",""
"29","W662K301085","8/10/2022 12:00:00 AM","32280",""," صيانة دورية","طارق","",""
"30","V9714602606 ش","8/11/2022 12:00:00 AM","476402","122976","صيانة دورية","طارق","",""
"31","W503K400554","8/11/2022 12:00:00 AM","129801","107493","تم تعبئة حبر","طارق","",""
"32","V2294602212","8/11/2022 12:00:00 AM","112321","10231","صيانة دورية","شعبان","",""
"34","m6494600408 ش","8/11/2022 12:00:00 AM","697773","","صيانة بكر السحب","شعبان","",""
"36","S7224300522","8/11/2022 12:00:00 AM","","","صيانة + ملو حبر احمر/ ازرق/اصفر","شعبان","",""
"37","W512JB00220","8/11/2022 12:00:00 AM","299181","790909","صيانة دورية","شعبان","",""
"39","V1404604979","8/8/2022 12:00:00 AM","101658","15583","تركيب نص درام وشفرة","طارق","",""
"40","W522j700570","8/9/2022 12:00:00 AM","676545","","صيانة دورية","طارق","",""
"42","E183jB00334","8/8/2022 12:00:00 AM","483259","256230"," صيانة دورية + تركيب زجاجة حبر اسود","طارق","",""
"43","E183jB00334","8/9/2022 12:00:00 AM","483284","260257"," صيانة دورية","طارق","",""
"44","V9314700650","8/14/2022 12:00:00 AM","334230","91229","ملو حبر جميع الالوان والاسود","شعبان","",""
"45","W915PC03559","8/14/2022 12:00:00 AM","133561","","صيانة للفيدر","شعبان","",""
"46","V8204100745 ش","8/10/2022 12:00:00 AM","403121","","صيانة  دورية","ايمن","",""
"48","S9044300110","8/10/2022 12:00:00 AM","91137","","صيانة دورية","ايمن","",""
"49","E343M720170","8/10/2022 12:00:00 AM","71364","","sc142 صورة ضعيفة","ايمن","",""
"50","W523J100167","8/10/2022 12:00:00 AM","817278","","تم نقل السخان الجديد من الالة الاخري + نقل يونت + مجموعة الحبر","ايمن","",""
"52","M5792700275","8/8/2022 12:00:00 AM","571576","","تم تغير الدوبلكس","ايمن","",""
"54","M5792600321","8/8/2022 12:00:00 AM","2310031","","صيانة دورية","ايمن","",""
"55","M5593300079","8/8/2022 12:00:00 AM","512913","","صيانة دورية","ايمن","",""
"56","M6483800000","8/8/2022 12:00:00 AM","1268744","","صيانة دورية","ايمن","",""
"57","E174M831512","8/8/2022 12:00:00 AM","549777","299988","حشر في الفيدر +الصورة ضعيفة","ايمن","",""
"58","V9714302496","8/8/2022 12:00:00 AM","228362","176515","حشر في الدرج الاول و الثانى","ايمن","",""
"59","L7026361179","8/15/2022 12:00:00 AM","61927","","صيانة دورية","شعبان","",""
"61","V4499404466","8/15/2022 12:00:00 AM","183648","","تم تغير حساس خروج","شعبان","",""
"69","M6594000547","8/16/2022 12:00:00 AM","544865","","وجود حشر فى مجموعة الخروج","شعبان","محتاج مجموعة خروج",""
"70","J8353902350","8/16/2022 12:00:00 AM","457025","","صورة خفيفة","شعبان","محتاج طقم تروس",""
"71","K2068803666","8/16/2022 12:00:00 AM","69541",""," تم صيانة الى باب الجنب","شعبان","",""
"72","W512J701951","8/16/2022 12:00:00 AM","477105","177218","تم صيانة  للفيدر","شعبان","",""
"74","L7016460782","8/16/2022 12:00:00 AM","67613","","تم استبدال حامل الحبر","شعبان","",""
"76","K8563700734","8/16/2022 12:00:00 AM","266914","","صيانة دورية","شعبان","",""
"80","W524J100278","8/11/2022 12:00:00 AM","505861","","sc 441","ايمن","",""
"81","V7711100126","8/11/2022 12:00:00 AM","674486","157112","حشر في الماكينة","ايمن","",""
"82","M582900752","8/11/2022 12:00:00 AM","678716","","صيانة دورية","ايمن","",""
"83","W523J100304","8/11/2022 12:00:00 AM","634222","","حشر فى السخان","ايمن","",""
"84","بدون","8/11/2022 12:00:00 AM","81420","","تغير يونت درام كامل+تغير رول سخان+تغير طقم اضافر سخان","ايمن","",""
"85","V7912600553","8/3/2022 12:00:00 AM","505535","","تمت صياتة المرايات","ايمن","",""
"86","S5209604185","5/24/2023 12:00:00 AM","234601","","تم تغير شاسية للالة بالكامل","ايمن","",""
"87","M5582800340","8/4/2022 12:00:00 AM","431350","","صيانة دورية","ايمن","",""
"88","V2404600206","8/4/2022 12:00:00 AM","311861","102885","صيانة دورية","ايمن","",""
"89","W673K500749","8/17/2022 12:00:00 AM","106249","","تم استبدال كارتة اشارات","شعبان"," الدرام بة نقط",""
"90","M6394900497","8/17/2022 12:00:00 AM","422998","","تم استبدال سخان استيراد","شعبان","حساب السخان 1200 جنية",""
"96","W914P204603","8/15/2022 12:00:00 AM","108796","","تم تركيب تروس 1515","طارق","",""
"107","V9304801899","8/18/2022 12:00:00 AM","241125","114563","تم اصلاح الصوت العالى فى الدوبلكس","اسامة","",""
"108","W542J700538","8/18/2022 12:00:00 AM","629317","388187","تم لحام كسر فى مجموعة الشحن الجانبية+ صيانة باب الجنب","اسامة","",""
"111","S7224100343","8/18/2022 12:00:00 AM","122724","103323","صيانة دورية","اسامة","",""
"113","K8266510466","8/18/2022 12:00:00 AM","229598","","تم تركيب رول سخان علوى + فيدر كامل للالة","شعبان","محتاج شفرة درام",""
