"ID","تاريخ الصيانة","عداد اسود","عداد اللوان","بيان الاصلاح","المهندس","الحساب","ملاحظات","رقم الشاسية"
"1","1/6/2024 12:00:00 AM","62906","","صيانة + تعبئة حبر","كريم","350.0000","","S9258500325"
"2","12/26/2023 12:00:00 AM","14614","","تم تسليم الالة","كريم","","","S5218702445"
"4","1/9/2024 12:00:00 AM","56922","","تم تركيب مراية ليزر + شفرة + صيانة","عبدة","300.0000","","S5208901516"
"5","1/10/2024 12:00:00 AM","64412","","تم تركيب روال مغنتك استعمال + تغير الشباية + ملو حبر + صيانة","عبدة","","","T576H701233"
"6","1/8/2024 12:00:00 AM","41464","","عداد تسليم الالة","","","","T588H201010"
"7","1/8/2024 12:00:00 AM","71948","","عداد تسليم الالة","","","","T577H700993"
"8","12/31/2023 12:00:00 AM","49987","","عداد تسليم الالة","سيف","","","S5218703749"
"9","1/8/2024 12:00:00 AM","53959","","تم تعبئة حبر + شحن شباية + شفرة + صيانة","عبدة","475.0000","","T1129561920"
"10","1/11/2024 12:00:00 AM","39010","","عداد تسليم الالة","عبدة","","","S5218601383"
"11","1/10/2024 12:00:00 AM","13910","","تم تركيب شفرة + شحن شباية + صيانة","عبدة","175.0000","","T636H700339"
"12","12/19/2023 12:00:00 AM","405986","","عداد تسليم الالة","مروان","","","T576H802695"
"13","1/13/2024 12:00:00 AM","19893","","تم تغير سوستة عادم + روال مغنتك جديد + صيانة","كريم","","T578H602286 الكونتروال القديم","T576H802695"
"14","1/17/2024 12:00:00 AM","299777","","صيانة للالة","عبدة","","","T576H503650"
"15","1/16/2024 12:00:00 AM","64419","","تم تعبئة حبر + درام + شفرة + شباية + صيانة","عبدة","800.0000","يوجد خط فى السخان","T1149260903"
"16","1/15/2024 12:00:00 AM","166404","","تم تغير شفرة الدرام + صيانة","عبدة","","","S4618500094"
"17","1/18/2024 12:00:00 AM","45817","","تم تغير التنك + درام وشفرة + كيس حبر","عبدة","950.0000","","T1138561016"
"18","1/15/2024 12:00:00 AM","756","27088","صيانة للكراتيج","كريم","","","S5498801097"
"19","1/27/2024 12:00:00 AM","41072","","تم تبديل الحبارة + تعبئة حبر + شفرة + صيانة","عبدة","650.0000","","T1148760609"
"20","2/1/2024 12:00:00 AM","120300","","شفرة + كيس حبر + ديفلبر 50 جرام + شحن شبايات","عبدة","500.0000","","T1149163184"
"21","2/3/2024 12:00:00 AM","32328","","تم تركيب درام + شفرة +حبر + ديفلبر + الترس امام وش الشباية","عبدة","","","S5218705344"
"22","2/18/2024 12:00:00 AM","4180","","تم تبديل شاسية","وسام","750.0000","","T575HC00984"
"23","3/20/2024 12:00:00 AM","105614","","تم استبدال الكارتيج","شعبان","500.0000","فرق استبدال","T1138560781"
"24","2/11/2024 12:00:00 AM","99972","","عداد تسليم الالة","كريم","3500.0000","","S8131801077"
"25","2/11/2024 12:00:00 AM","128370","","عداد تسليم الالة",";","3500.0000","","S8131500617"
"26","3/20/2024 12:00:00 AM","100225","","تم تعبئة حبر","شعبان","350.0000","","S8131801077"
"27","4/17/2024 12:00:00 AM","49400","","تم شحن الشباية","كريم","50.0000","","T588H501380"
"28","4/21/2024 12:00:00 AM","40681","","تم تغير نص يونت بدون درام + تركيب شفرة +روال شحن + زيادة حبر التنك","عبدة","700.0000","","T575H406729"
"29","8/4/2024 12:00:00 AM","6100","","تم تركيب سوستة عادم +اكس ماجينتك + تزويد تنك الحبر + تركيب ترس الراجع + صيانة عامة","يحيي","650.0000","","T575HC00984"
"30","9/8/2024 12:00:00 AM","75187","","عداد تسليم","","","","T575H406218"
"31","9/3/2024 12:00:00 AM","44580","","عداد تسليم الاله","","1400.0000","","T588H504634"
"32","8/29/2024 12:00:00 AM","72596","","عداد تسليم الاله","","","","T578H200791"
"33","8/31/2024 12:00:00 AM","518195","","عداد تسليم الاله","","2000.0000","+ تبديل برنتر 4510","T1128764206"
"34","8/20/2024 12:00:00 AM","38516","","عداد تسليم الاله","","","","S5218602874"
"35","8/14/2024 12:00:00 AM","43374","","عداد تسليم","","1500.0000","","T635H900473"
"36","6/12/2024 12:00:00 AM","71778","","عداد تسليم الاله","","2500.0000","+ برنتر 9410","T1138560788"
"37","8/7/2024 12:00:00 AM","4759","","عداد تسليم","","2750.0000","","S5819000936"
"38","","576582","","عداد تسليم","","","بدل برنتر 4210","Y127X303883"
"39","8/11/2024 12:00:00 AM","73631","","عداد تسليم","","3000.0000","","T1128761143"
"40","8/11/2024 12:00:00 AM","93815","","عداد تسليم","","","بدل برنتر 1650","T574HC01000"
"41","8/4/2024 12:00:00 AM","21417","7701","عداد تسليم","","","","X038R910364"
"42","7/30/2024 12:00:00 AM","19177","","عداد تسليم","","","","T576H203324"
"43","7/27/2024 12:00:00 AM","165371","","عداد تسليم","","3500.0000","","Y128X608345"
"44","7/24/2024 12:00:00 AM","50018","","عداد تسليم","","2000.0000","استبدال اله 4210","S5218704563"
"45","7/18/2024 12:00:00 AM","151301","","عداد تسليم","","1900.0000","+ استبدال 4510","T1138561554"
"46","7/3/2024 12:00:00 AM","40903","11124","عداد تسليم الاله","","","بدل استبدال اله 305","SPC262SFNW"
"47","5/28/2024 12:00:00 AM","545","88","عداد تسليم","","6500.0000","","Y848PB00474"
"48","5/2/2024 12:00:00 AM","105629","","عداد تسليم","","700.0000","باقي الاله 300 جنية + استبدال اله 3500","T575H103262"
"49","5/26/2024 12:00:00 AM","327339","","عداد تسليم","","2500.0000","+ برنتر سامسونج","S5218602398"
"50","","4237","","عداد تسليم","","1500.0000","+ استبدال اله 4510","T576H102017"
"51","5/15/2024 12:00:00 AM","40542","","عداد تسليم","","","","T637H200565"
"52","","21400","","عداد تسليم","","","","LEX MARK"
"53","5/14/2024 12:00:00 AM","515405","","عداد تسليم","","","","T576H701153"
"54","5/13/2024 12:00:00 AM","130451","","عداد تسليم","","1750.0000","","T575H200788"
"55","5/8/2024 12:00:00 AM","21556","","عداد تسليم","","1750.0000","","T575HC01010"
"56","5/9/2024 12:00:00 AM","2045","","تعبئة كيس حبر + صيانة لليونت","","","400 جنية","T696HA01181"
"57","5/9/2024 12:00:00 AM","57356","","عداد تسليم","","","","5210PA01149"
"58","6/21/2024 12:00:00 AM","257831","","عداد تسليم","","3000.0000","+ اله 4210 اسكراب","T1149163430"
"59","4/23/2024 12:00:00 AM","18578","","عداد تسليم","","","بدل اله 4510","S5218602552"
"60","9/16/2024 12:00:00 AM","389199","","تركيب باب امامي بالمنوال + تنك ديفولبر + درام جديد + ترس رئيسي + شحن شبايه","عبدة","1250.0000","","T1128762225"
"61","9/23/2024 12:00:00 AM","44734","","صيانة + تركيب رول ماجنتك + تزويد حبر في التانك","عبدة","","","T588H504634"
"62","9/25/2024 12:00:00 AM","213234","","صيانة + شفرة + حبر","عبدة","600.0000","","T1129062493"
"63","9/25/2024 12:00:00 AM","16638","51704","ملؤ + صيانة اللون الازرق / تغير تنك احمر / تغير حبر يونتين / اسود + رول ماجنتك","عبدة","600.0000","","S9939501002"
"64","10/2/2024 12:00:00 AM","5999","33947","صيانة في البرنتر","كريم","","محتاج حبر ازرق","S9438900086"
"65","9/29/2024 12:00:00 AM","67036","","عداد تسليم","","2000.0000","","T585H900046"
"66","10/2/2024 12:00:00 AM","58865","","تم عمل RESET للشبايى تعمل و لكن تحتاج الي الشحن","كريم","","","5210PA01149"
"67","9/29/2024 12:00:00 AM","8056","8702","","عبدة","275.0000","","Y186P600569"
"68","9/30/2024 12:00:00 AM","8065","","تعديل سوستة عادم + تغير حبر في التانك + رول ماجنتك جديد","عبدة","600.0000","","T575HB02459"
"69","9/28/2024 12:00:00 AM","21303","","شفرة + درام + شحن شباية + حبر + ترس جانب تنك + صيانة","عبدة","650.0000","","S2076901983"
"70","10/5/2024 12:00:00 AM","37010","7420","عداد تسليم الاله","كريم","","","Y847PA00400"
"71","","12536","","عداد تسليم","رضا","2500.0000","2500 نقدا","T312Q701768"
"72","10/9/2024 12:00:00 AM","92523","238766","تسليم الاله","رضا","","","VG66X00520"
"73","10/9/2024 12:00:00 AM","87378","","عداد تسليم","","","","S5289500679"
"74","2/13/2025 12:00:00 AM","60584","","عداد تسليم","كريم","","","T577HC02997"
"75","3/13/2025 12:00:00 AM","1695","12927","صيانه","كريم","","","X036AA00350"
